"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 21, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Oct 18, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Oct 17, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Oct 16, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Oct 15, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Oct 14, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Oct 11, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Oct 10, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Oct 09, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Oct 08, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Sep 27, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Sep 26, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Sep 25, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Sep 24, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Sep 23, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Sep 20, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Sep 19, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Sep 18, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","0.00%"
"Sep 17, 2019","49,500.00","49,500.00","51,000.00","48,000.00","-","-1.00%"
"Sep 16, 2019","50,000.00","50,000.00","51,500.00","48,500.00","-","0.00%"
"Sep 12, 2019","50,000.00","50,000.00","51,500.00","48,500.00","-","0.00%"
"Sep 11, 2019","50,000.00","50,000.00","51,500.00","48,500.00","-","0.00%"
"Sep 10, 2019","50,000.00","50,000.00","51,500.00","48,500.00","-","0.00%"
"Sep 09, 2019","50,000.00","50,000.00","51,500.00","48,500.00","-","0.00%"
"Sep 06, 2019","50,000.00","50,000.00","51,500.00","48,500.00","-","0.00%"
"Sep 05, 2019","50,000.00","50,000.00","51,500.00","48,500.00","-","-2.91%"
"Sep 04, 2019","51,500.00","51,500.00","53,000.00","50,000.00","-","0.00%"
"Sep 03, 2019","51,500.00","51,500.00","53,000.00","50,000.00","-","-0.96%"
"Sep 02, 2019","52,000.00","52,000.00","53,500.00","50,500.00","-","0.00%"
"Aug 30, 2019","52,000.00","52,000.00","53,500.00","50,500.00","-","-1.89%"
"Aug 29, 2019","53,000.00","53,000.00","54,500.00","51,500.00","-","0.00%"
"Aug 28, 2019","53,000.00","53,000.00","54,500.00","51,500.00","-","0.00%"
"Aug 27, 2019","53,000.00","53,000.00","54,500.00","51,500.00","-","-0.93%"
"Aug 26, 2019","53,500.00","53,500.00","55,000.00","52,000.00","-","-1.83%"
"Aug 23, 2019","54,500.00","54,500.00","56,000.00","53,000.00","-","-1.80%"
"Aug 22, 2019","55,500.00","55,500.00","57,000.00","54,000.00","-","-1.77%"
"Aug 21, 2019","56,500.00","56,500.00","58,000.00","55,000.00","-","0.00%"
"Aug 20, 2019","56,500.00","56,500.00","58,000.00","55,000.00","-","0.00%"
"Aug 19, 2019","56,500.00","56,500.00","58,000.00","55,000.00","-","-0.88%"
"Aug 16, 2019","57,000.00","57,000.00","58,500.00","55,500.00","-","0.00%"
"Aug 15, 2019","57,000.00","57,000.00","58,500.00","55,500.00","-","-1.72%"
